YYYYMMDD HH:MM:SS,MMDD HH,ICM-Hydro compartment->,346,347,348,349,350,351,352,353,354,384,498,572,703,705,726,979,1335,1337,1338,1421,1422,1424
20100102 23:00:00,0102 23,1/2/10 23:00,-0.211275695,-0.200675531,-0.193608755,-0.186541978,-0.175941814,-0.175941814,-0.088937291,-0.001932768,-0.001932768,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.092303796,0.092303796,0.0912,0.0912,0.092303796,0.092303796
20100103 00:00:00,0103 00,1/3/10 0:00,-0.182766973,-0.195812376,-0.204509312,-0.213206247,-0.22625165,-0.22625165,-0.102344859,0.021561932,0.021561932,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.027617009,0.027617009,0.0583,0.0583,0.027617009,0.027617009
20100103 01:00:00,0103 01,1/3/10 1:00,-0.152263016,-0.160555506,-0.166083833,-0.17161216,-0.17990465,-0.17990465,-0.093175982,-0.006447314,-0.006447314,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.039732442,0.039732442,0.0483,0.0483,0.039732442,0.039732442
20100103 02:00:00,0103 02,1/3/10 2:00,-0.131500662,-0.141403991,-0.14800621,-0.154608429,-0.164511757,-0.164511757,-0.062241608,0.040028542,0.040028542,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.036071836,0.036071836,0.0585,0.0585,0.036071836,0.036071836
20100103 03:00:00,0103 03,1/3/10 3:00,-0.10878097,-0.12590754,-0.137325254,-0.148742968,-0.165869538,-0.165869538,-0.062277121,0.041315297,0.041315297,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.067844148,0.067844148,0.0639,0.0639,0.067844148,0.067844148
20100103 04:00:00,0103 04,1/3/10 4:00,-0.06546312,-0.092716089,-0.110884735,-0.12905338,-0.156306349,-0.156306349,-0.039431575,0.0774432,0.0774432,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.04632039,0.04632039,0.0629,0.0629,0.04632039,0.04632039
20100103 05:00:00,0103 05,1/3/10 5:00,-0.03267227,-0.076237524,-0.105281026,-0.134324528,-0.177889782,-0.177889782,-0.029882232,0.118125319,0.118125319,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.076544426,0.076544426,0.0718,0.0718,0.076544426,0.076544426
20100103 06:00:00,0103 06,1/3/10 6:00,-0.022900952,-0.060768112,-0.086012886,-0.11125766,-0.14912482,-0.14912482,-0.011095836,0.126933148,0.126933148,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.096509998,0.096509998,0.1105,0.1105,0.096509998,0.096509998
20100103 07:00:00,0103 07,1/3/10 7:00,0.062897733,-0.020590826,-0.076249865,-0.131908904,-0.215397462,-0.215397462,-0.055198431,0.105000601,0.105000601,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.102259143,0.102259143,0.1288,0.1288,0.102259143,0.102259143
20100103 08:00:00,0103 08,1/3/10 8:00,0.056864112,-0.004746001,-0.045819409,-0.086892817,-0.14850293,-0.14850293,-0.022160113,0.104182705,0.104182705,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.146503539,0.146503539,0.1475,0.1475,0.146503539,0.146503539
