ICM_ID,new_area_m2,old_area_m2,new-old,old_comp_to_use_for_new_rain
293,9350580,9350580,0,293
294,14157700,14157700,0,294
295,15862200,15862200,0,295
296,82733600,82733600,0,296
297,90151700,90151700,0,297
298,128027000,128027000,0,298
299,546442000,462001000,84441000,299
300,1346060000,1346060000,0,300
301,1447100000,1447100000,0,301
302,394504000,285606000,108898000,302
303,215543000,215543000,0,303
304,232985000,232985000,0,304
305,185644000,185644000,0,305
306,173787000,173787000,0,306
307,61686200,61686200,0,307
308,72609900,72609900,0,308
309,73242800,73242800,0,309
310,59862700,59862700,0,310
311,53145100,53145100,0,311
312,63912500,63912500,0,312
313,98436400,83871900,14564500,313
314,106466000,103632000,2834000,314
315,171341000,176685000,-5344000,315
316,232753000,232753000,0,316
317,130478000,130478000,0,317
318,164118000,164118000,0,318
319,175934000,175934000,0,319
320,287280000,287280000,0,320
321,328744000,328744000,0,321
322,331846000,331846000,0,322
323,470958000,470958000,0,323
324,385764000,385764000,0,324
325,451536000,560434000,-108898000,325
326,347510000,347510000,0,326
327,318073000,318073000,0,327
328,180469000,180469000,0,328
329,146453000,146453000,0,329
330,558604000,558604000,0,330
331,422528000,422528000,0,331
332,316562000,316562000,0,332
333,369959000,369959000,0,333
334,334266000,334266000,0,334
335,366041000,366041000,0,335
336,540572000,540572000,0,336
337,1681590000,1681590000,0,337
338,1699870000,1699870000,0,338
339,1276610000,1276610000,0,339
340,1226350000,1226350000,0,340
341,531845000,531845000,0,341
342,441760000,441760000,0,342
343,450445000,450445000,0,343
344,340919000,340919000,0,344
345,605998000,605998000,0,345
346,1430380000,1430380000,0,346
347,1938470000,1938470000,0,347
348,1390770000,1390770000,0,348
349,1114430000,1114430000,0,349
350,1109250000,1109250000,0,350
351,721891000,721891000,0,351
352,444511000,444511000,0,352
353,733689000,733689000,0,353
354,743050000,743050000,0,354
355,670018,670018,0,355
356,1689230,1689230,0,356
357,827345,827345,0,357
358,971125,971125,0,358
359,1002310,1002310,0,359
360,2669150,1417470,1251680,360
361,525325,525325,0,361
362,1365280,1365280,0,362
363,1861560,1454560,407000,363
364,1566920,1566920,0,364
365,4049660,4049660,0,365
366,18031100,19651000,-1619900,366
367,243581,243581,0,367
368,649674,649674,0,368
369,2738430,2738430,0,369
370,2389150,2389150,0,370
371,2756480,2756480,0,371
372,740959,740959,0,372
373,1566870,1566870,0,373
374,3672820,3672820,0,374
375,5680430,5680430,0,375
376,9213420,9213420,0,376
377,15200000,15200000,0,377
378,6888310,6888310,0,378
379,23254800,22345900,908900,379
380,3316620,3316620,0,380
381,2125360,2125360,0,381
382,1408580,1408580,0,382
383,611165000,611165000,0,383
384,752396000,752396000,0,384
385,13087700,13087700,0,385
386,46698500,46698500,0,386
387,522907000,522906000,1000,387
388,616031000,616031000,0,388
389,95585100,95585100,0,389
390,1831570,1831570,0,390
391,327599000,327599000,0,391
392,178232000,178232000,0,392
393,216500000,216500000,0,393
394,289621000,289621000,0,394
395,9555360,9555360,0,395
396,21153200,21153200,0,396
397,7329350,7329350,0,397
398,1408970,1408970,0,398
399,23464200,23464200,0,399
400,61471400,61471400,0,400
401,83747100,83747100,0,401
402,39819300,39819300,0,402
403,29223000,29223000,0,403
404,55109300,55109300,0,404
405,36280100,36280100,0,405
406,3559740,3559740,0,406
407,13384900,13384900,0,407
408,40760400,40760400,0,408
409,19364400,19364400,0,409
410,3233780,3233780,0,410
